year,rating,review
2023,3,"interactions arent as expected, features in mobile and web are different and/or missing. data pulled for save trip (before booking) isn't accurate, makes the save trips feature unusable. overall, looking for flights is easy but don't expect to save any of the trips for future research or comparison because data isn't accurate or can't pull any data"
2023,3,"The platform is quick and easy to use however where it becomes very difficult is the indicated values for ""flights from..."" shown with each date. These never exist in reality and are usually in fact way off. As cost is the method most of us want to search by it makes it very frustrating and difficult due to the vast difference between what the app shows and is then available when you view tickets for each date. This makes the benefit of the apps date overviews essentially useless"
2023,3,"I'm no longer receiving updates, defeating the purpose of my use for this app. I have had to manually check the app multiple times as I'm suddenly not receiving notifications anymore. I've checked the settings, my phone has all notifications enabled and the option is ticked inside the app. The tickets for my trip have gone up or down with no updates. Considering just deleting the app and manually checking the provider directly since it would be more reliable."
2023,3,"Earlier I would give you 10* but now you are at strong 3*. The reasons are I miss a lot the price list for almost every date in axmonth in following year (now it's available only for 3-4 in advance) and the 2nd thing is the other way of choosing dates for travel,with charts/sticks. That was helping me a lot to plan all my vacations a to travel more ... Now all the apps are the same:("
2023,1,"We booked the flight ticket through HappyFares, assuming that Skyscanner had done the due diligence. We received the tickets (PNR: YJQ8SH; SG-430) with correct passengers’ details. When we reached the airport there was a mistake in my name (total 3 from my family). Due to the name difference, I did not get the boarding pass while two of my family members took the boarding pass. I was told by the agent to book the ticket and they would refund it. However, we are not even getting reply on email."
2023,4,"This app is very easy and usefull to check flights, I have used it to book 2 flights now, but recently it shows self transfer and no self transfer for same flights time to time, I have booked a batik to batik transit via KUL from CMB to HKG on Oct 10 2023, next Tuesday, FLIGHT result on this app clearly showed no self transfer when I'm booking. And I checked it with 3 separate people to verify no self tranfer, NOW after several hours of payment it shows self transfer in app, I'm so lost now 🤦🙎"
2023,1,I have booked a round trip fr 3 pax but havent received any conformation emial or watsapp even after the payment deduction from my bank account to interglobe aviation ltd as mentioned on the UPI request. Kindly upgrade your app n contact me as your contact no is not mentioned. Hoping to get a quick reply from your end. My flight is within 2 days
2023,2,"Really wish Skyscanner realised that allowing customers to add 'direct flights only' at the *beginning* of a search would be very useful and save searchers loads of time. Who wants a 2 hour flight that takes 30 hours with 1,2,3,4 stops - just ridiculous, but as usual Skyscanner never listen to customers and the reviews given by genuine users. Would rather see the price for direct flights NOT cheap multi stop flights."
2023,2,"There is a bug when saving a multi-city flight. It is saved as a return flight, where the second city gets replaced with the first city, so the flight becomes invalid when you review it."
2023,1,Doesn't have any record of the bookings and partners. You can be cheated by any provider. I am trying to change the booking but no contact for the service provider. Really unprofessional. I booked flight tickets on Oct 02 now I wish to change my booking but Indigo is asking to do it with your booking partner. Now I have no access to my booking on Skyscanner and no mail from the booking partner. So I have no clue whom to reach.
2023,2,The new update messed up the whole experience. Earlier we were able to see multiple options of round trip of flights for a month. Now just 1 shows
2023,1,"Lots of people around me suggested this app,I thought to give it a try.I regret that decision because this app doesn't work at first place. When you search for flights you get to know where to where and it's price but when you click on particular option it doesn't show any results."
2023,2,"I hate the new version, not convenient at all. When you just download it, it works well, but changes to a new version soon, very difficult to be used."
2023,4,"Constantly throws error while searching for the complete list of flights. Needs to be fixed ASAP as this is serving no purpose Edit: this is working as expected now, thank you"
2023,1,Fraud app. Travel Date automatic change while payment..... Book carefully.. if u want video proof then ask me i will show u... Book ticket with geniune way otherwise ready for harras... There is no any contact number for this app..
2023,1,"Prices in the app are 3 times higher than on the website since about 6 months. It looks like a bug, deinstalled."
2023,1,Problem is they link to sites like edreams which are just scam sites. As long as they do they should just change the name to Skyscammer I was left stranded.
2023,1,"Skyscanner has been a really useful app until recently when they appeared to remove the feature which told you whether a checked bag was included or not in the price of each flight in your search results. Now, this does not appear. Useful data, removed for no apparent reason. I see they are very responsive to constructive criticism so I'm hoping someone sees this and reverts this terrible change! ///// Update: I will watch and hope that this feature is added back again as they suggest!"
2023,2,"the price increased by about $6 when I went to pay it, without any reason I could find. not impressed at all !!"
2023,5,My son said me for this app! I am so satifadeI'm so happy with it! I just used it and I'm so happy with the flight I found Belgrade-Chicago! I am satisfied with the price and other conditions that she offered me. I wish all the best to the Skyscanner company employees in the coming holidays and even better results! Merry Christmas from me and Happy New Year dear friends❤️😇❤️💕!!!
2023,2,"Basics missing. 1. There is no sync in estimated vs actual price. Shows 12k on calender but starts with 25k on actual results. Then while booking the flights, price moves to 30k. What's the point? 2. Why cant I filter our the direct flights on initial search, all aggregators give this basic option. 3. No option to filter out self transfer flights on app, such wierd & tacky flight combinations. 4. Price alert option is useless."
2023,5,"A great service delivered by a great App, plus, if you tell them about a bug, they get straight in touch, and fix it! Thanks Scott."
